XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OSHSD101-EVS00-017;;32; O slippers ciabatta donna;OSHSD101;EVS00;017;blu navy;blue navy;
CodeBarre;OSHSD101-EVS00-347;;32; O slippers ciabatta donna;OSHSD101;EVS00;347;cedro;cedro;
CodeBarre;OSHSD101-EVS00-119;;32; O slippers ciabatta donna;OSHSD101;EVS00;119;fragola;strawberry;
CodeBarre;OSHSD101-EVS00-371;;32; O slippers ciabatta donna;OSHSD101;EVS00;371;latte;milk;
CodeBarre;OSHSD101-EVS00-055;;32; O slippers ciabatta donna;OSHSD101;EVS00;055;nero;black;
CodeBarre;OSHSD101-EVS00-588;;32; O slippers ciabatta donna;OSHSD101;EVS00;588;orchidea;orchidea;
CodeBarre;OSHSD101-EVS00-088;;32; O slippers ciabatta donna;OSHSD101;EVS00;088;turchese;turchese;
CodeBarre;OSHSD101-EVS00-224;;32; O slippers ciabatta donna;OSHSD101;EVS00;224;verde inglese;english green;
