XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB001-EVS00-371; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;371;latte;milk;
CodeBarre;OBAGB001-EVS00-133; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;133;grigio chiaro;light grey;
CodeBarre;OBAGB001-EVS00-017; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;017;blu navy;navy blue;
CodeBarre;OBAGB001-EVS00-158; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;158;vulcano;volcano;
CodeBarre;OBAGB001-EVS00-078; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;078;sabbia;sand;
CodeBarre;OBAGB001-EVS00-071; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;071;roccia;rock;
CodeBarre;OBAGB001-EVS00-055; O bag spring 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;055;nero;black;
CodeBarre;OBAGB002-EVS00-371; O bag spring 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;371;latte;milk;
CodeBarre;OBAGB002-EVS00-133; O bag spring 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;133;grigio chiaro;light grey;
CodeBarre;OBAGB002-EVS00-017; O bag spring 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;017;blu navy;navy blue;
CodeBarre;OBAGB002-EVS00-158; O bag spring 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;158;vulcano;volcano;
CodeBarre;OBAGB002-EVS00-078; O bag spring 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;078;sabbia;sand;
